Year,Period,Branch,New Equipment Sales,Used Equipment Sales,RPO Sales,Re-Marketing Sales,Trade-In Sales,RtoR Sales,Other,Total Equipment
2019,7,404,267000,0,0,0,0,0,6076.5,273076.5
2019,7,520,166000,0,0,0,0,0,0,166000
2019,7,536,312229.51,0,0,0,0,0,0,312229.51
2019,8,113,587856.25,4000,0,256327.81,0,0,0,848184.06
2019,8,114,2538597,0,0,125350,0,67425.85,0,2731372.85
2019,8,117,396950,0,0,0,0,0,0,396950
2019,8,160,1212991,1495,0,0,0,0,5786.69,1220272.69
2019,8,190,0,0,0,0,71000,0,0,71000
2019,8,215,0,0,0,0,0,111650,0,111650
2019,8,216,889672,0,0,1094431,0,276750,0,2260853
2019,8,218,1438204,0,0,684526,0,0,0,2122730
2019,8,364,0,2500,0,0,0,158250,0,160750
2019,8,365,2283947,13000,0,762000,0,0,0,3058947
2019,8,366,0,0,0,0,0,0,5748.06,5748.06
2019,8,367,198551,0,0,0,0,0,13230,211781
2019,8,401,0,0,0,0,0,0,4843.05,4843.05
2019,8,403,0,0,0,0,18000,0,1291.67,19291.67
2019,8,404,0,0,0,0,0,0,2751.5,2751.5
2019,8,520,22420,2350,0,0,0,0,0,24770
2019,8,536,781344.47,0,0,0,0,0,0,781344.47
2019,9,113,474410,0,696880,0,369896,0,0,1541186
2019,9,114,3704493.65,0,0,717589.1,0,0,0,4422082.75
2019,9,117,5300242,0,0,338050,0,0,0,5638292
2019,9,160,152304.33,0,0,1589166.34,0,0,5786.69,1747257.36
2019,9,190,0,148650,0,253000,168015,120000,758789.42,1448454.42
2019,9,215,0,0,0,58500,0,0,0,58500
2019,9,216,1210086,0,1434655.84,241181,0,0,0,2885922.84
2019,9,218,1782275,0,0,0,0,249395,0,2031670
2019,9,364,7346,0,0,0,0,0,0,7346
2019,9,365,12250,0,0,0,0,0,0,12250
2019,9,366,0,0,0,0,0,0,5748.06,5748.06
2019,9,367,1314820,5000,0,133522.14,0,0,13230,1466572.14
2019,9,401,19750,0,0,0,0,0,4843.05,24593.05
2019,9,403,49000,0,0,0,0,0,1291.67,50291.67
2019,9,404,0,0,0,0,0,0,-19260.5,-19260.5
2019,9,520,0,0,0,0,0,0,0,0
2019,9,536,-501974.47,0,0,0,0,0,0,-501974.47
2019,10,113,1185149.89,0,0,86000,-369896,220530,0,1121783.89
2019,10,114,1437912.77,0,0,3000,17000,120000,0,1577912.77
2019,10,117,574077,0,0,0,0,0,0,574077
2019,10,160,388269,202000,0,32000,0,0,5786.69,628055.69
2019,10,190,19500,9000,0,618620,355000,0,0,1002120
2019,10,215,858940,0,0,250000,0,222030.68,0,1330970.68
2019,10,216,30450,0,0,0,0,0,0,30450
2019,10,218,2163314.17,0,0,567970,0,0,0,2731284.17
2019,10,364,559525.75,0,178123.87,156595,0,0,0,894244.62
2019,10,365,289797,0,247638,342000,0,0,0,879435
2019,10,366,0,0,0,0,0,0,3754.58,3754.58
2019,10,367,1077254,491945,0,0,0,0,13230,1582429
2019,10,401,0,3367.13,0,0,0,0,4843.05,8210.18
2019,10,403,0,0,0,0,0,0,1291.67,1291.67
2019,10,404,0,5500,0,0,0,0,0,5500
2019,10,520,74875,0,0,0,0,0,0,74875
2019,10,536,777636.99,0,0,0,0,0,0,777636.99
2019,11,113,2441029.45,4050,357828.97,0,0,0,0,2802908.42
2019,11,114,1656239.34,0,0,0,0,0,0,1656239.34
2019,11,117,204485,0,0,0,0,185000,0,389485
2019,11,160,2563601.4,0,0,151136.52,0,0,5786.69,2720524.61
2019,11,190,1606000,0,0,401374,39900,0,0,2047274
2019,11,215,0,0,0,0,0,0,0,0
2019,11,216,2855,0,0,0,0,0,0,2855
2019,11,218,1228255,997535,0,250000,0,0,0,2475790
2019,11,364,3852800,0,0,0,0,363693,0,4216493
2019,11,365,822000,0,0,-70500,0,0,0,751500
2019,11,366,0,0,0,0,0,0,3754.58,3754.58
2019,11,367,161200,421000,0,1099448.72,0,0,13230,1694878.72
2019,11,401,859726,0,0,0,0,0,4843.05,864569.05
2019,11,403,0,0,0,0,0,0,1291.67,1291.67
2019,11,404,0,0,0,0,0,90000,0,90000
2019,11,520,0,750,0,0,0,0,0,750
2019,11,536,24037,0,0,355500,0,0,0,379537
2019,12,113,850834,3150,141304.4,170000,115019.87,0,0,1280308.27
2019,12,114,3143356.88,138852.55,1003317.28,345000,0,446049,0,5076575.71
2019,12,117,7641046,0,0,0,0,-185000,0,7456046
2019,12,160,3728259,0,549124.04,144375,374729,134750,6400,4937637.04
2019,12,190,36420,112000,0,1709450.3,364000,1136500,-1946569.97,1411800.33
2019,12,215,685096.28,0,0,0,0,0,0,685096.28
2019,12,216,1342037,0,0,0,0,219350,7800,1569187
2019,12,218,504037,773490,891856,408373.17,0,55000,0,2632756.17
2019,12,364,5295781,535000,468702.68,95000,0,652500,0,7046983.68
2019,12,365,4889535,0,0,294800,0,0,0,5184335
2019,12,366,0,0,0,0,0,0,12435.02,12435.02
2019,12,367,3025530,-481400,0,436600,0,1084000,35368,4100098
2019,12,401,-450,0,0,109000,0,0,4843.05,113393.05
2019,12,403,146500,0,0,0,0,0,11291.67,157791.67
2019,12,404,0,15285.58,0,97564.56,0,0,0,112850.14
2019,12,520,334213,1350,340217,0,0,0,0,675780
2019,12,536,283095,0,124693.31,0,0,0,0,407788.31
2020,1,113,1005584,5362.5,0,582958,88640,0,0,1682544.5
2020,1,114,571786.72,0,14227.09,0,0,60332.75,0,646346.56
2020,1,117,0,0,0,0,0,0,0,0
2020,1,160,3674,0,0,0,0,384500,2586.69,390760.69
2020,1,190,0,0,0,328100,39000,0,0,367100
2020,1,215,0,0,0,0,0,0,0,0
2020,1,216,438000,0,0,302411.67,0,0,0,740411.67
2020,1,218,554536,1100,190344,0,0,570000,0,1315980
2020,1,364,0,0,0,0,0,0,0,0
2020,1,365,0,2250,0,0,0,126800,0,129050
2020,1,366,0,0,0,0,0,0,5748.06,5748.06
2020,1,367,505500,501250,0,0,0,0,1350,1008100
2020,1,401,291723,0,0,0,0,0,4843.05,296566.05
2020,1,403,0,0,0,0,0,0,2125,2125
2020,1,404,27500,0,0,0,0,0,0,27500
2020,1,520,71110,0,0,0,0,0,0,71110
2020,1,536,175310,0,0,0,0,0,0,175310
2020,2,113,2988486,0,0,580430,0,0,0,3568916
2020,2,114,1083203,0,521212,0,0,0,250,1604665
2020,2,117,0,0,0,0,0,0,0,0
2020,2,160,16531.12,0,0,0,0,0,0,16531.12
2020,2,190,0,157030,0,0,38000,299487.5,0,494517.5
2020,2,215,0,0,0,0,0,0,0,0
2020,2,216,402353,0,0,0,0,0,0,402353
2020,2,218,5256,0,0,542100,0,0,0,547356
2020,2,364,40600,0,0,0,0,0,0,40600
2020,2,365,360000,0,0,0,0,138695,0,498695
2020,2,366,0,0,0,0,0,0,4073.06,4073.06
2020,2,367,1612851,0,0,123500,32000,0,1350,1769701
2020,2,401,44000,0,0,0,0,0,4843.05,48843.05
2020,2,403,4950,4000,0,0,0,0,2125,11075
2020,2,404,0,0,0,0,0,0,0,0
2020,2,520,0,0,0,0,0,0,0,0
2020,2,536,0,0,0,0,0,0,0,0
2020,3,113,1728249.57,128903.56,0,242750,0,0,0,2099903.13
2020,3,114,587436,169278.78,0,670217.41,0,0,4176,1431108.19
2020,3,117,0,0,0,0,0,0,0,0
2020,3,160,307781,5800,234543.6,0,43825,0,5173.38,597122.98
2020,3,190,0,0,0,425050,46000,309258.4,0,780308.4
2020,3,215,0,0,0,239485,0,0,0,239485
2020,3,216,457631,0,0,0,0,0,0,457631
2020,3,218,869442.78,0,0,0,0,211547,23418.29,1104408.07
2020,3,364,703271,0,0,130984,0,0,0,834255
2020,3,365,0,0,0,0,0,0,8745.11,8745.11
2020,3,366,0,0,0,0,0,0,4073.06,4073.06
2020,3,367,2551418,1800,0,120790,0,0,1350,2675358
2020,3,401,498674,80000,0,0,0,0,4843.05,583517.05
2020,3,403,0,0,0,0,0,0,2125,2125
2020,3,404,0,0,0,0,0,0,0,0
2020,3,520,20639,0,0,0,0,0,0,20639
2020,3,536,6118,0,0,231657,0,0,0,237775
2020,4,113,1652593.82,0,0,0,142500,0,0,1795093.82
2020,4,114,1513029,0,0,0,0,115250,0,1628279
2020,4,117,0,0,0,0,0,0,0,0
2020,4,160,149850,0,2,0,0,0,2586.69,152438.69
2020,4,190,0,0,0,0,110751,250000,0,360751
2020,4,215,0,0,0,0,29300,0,0,29300
2020,4,216,122590,0,0,0,0,225000,0,347590
2020,4,218,412196,2200,0,682000,87000,0,24926.67,1208322.67
2020,4,364,903489,0,0,300600,0,256500,1000,1461589
2020,4,365,650150,0,0,0,0,0,0,650150
2020,4,366,0,0,0,0,0,0,4073.06,4073.06
2020,4,367,8950,3350,0,471000,0,339000,1350,823650
2020,4,401,33805,2375,508965,0,0,0,4843.05,549988.05
2020,4,403,0,0,0,0,0,0,2125,2125
2020,4,404,0,0,0,0,0,0,0,0
2020,4,520,303162,0,0,0,0,0,0,303162
2020,4,536,31849,0,0,0,0,0,0,31849
2020,5,113,3226053.05,0,0,0,0,0,0,3226053.05
2020,5,114,386387,357440.66,0,320000,97600,0,0,1161427.66
2020,5,117,0,0,0,0,0,0,0,0
2020,5,160,1414033,0,0,0,0,0,2586.69,1416619.69
2020,5,190,0,0,0,0,0,251550,0,251550
2020,5,215,181314.6,0,0,338122.5,0,0,0,519437.1
2020,5,216,8550,0,130894.36,0,0,0,0,139444.36
2020,5,218,844550,0,238723,123640,-2000,0,0,1204913
2020,5,364,0,563975,0,1296040,0,803010,0,2663025
2020,5,365,1518849,0,0,0,0,0,0,1518849
2020,5,366,0,0,0,0,0,0,4073.06,4073.06
2020,5,367,96325,0,0,0,0,0,1350,97675
2020,5,401,4600,0,0,0,26500,0,625,31725
2020,5,403,0,0,0,0,0,0,1500,1500
2020,5,404,0,0,0,0,0,0,0,0
2020,5,520,287533,0,0,0,0,0,0,287533
2020,5,536,196496,0,0,0,0,0,0,196496
2020,6,113,1854489.16,4900,0,249450,190434.82,433219,0,2732492.98
2020,6,114,1255333.28,3450,0,0,0,0,0,1258783.28
2020,6,117,718625,3950,0,0,0,0,0,722575
2020,6,160,914925,3400,72406.09,48850,0,0,2586.69,1042167.78
2020,6,190,1617000,0,0,170161.49,0,710600,0,2497761.49
2020,6,215,113462,91550,0,0,0,0,0,205012
2020,6,216,1571788,0,0,0,0,0,0,1571788
2020,6,218,882800,0,0,410900,0,663955,0,1957655
2020,6,364,0,0,0,0,0,0,0,0
2020,6,365,493375,0,0,194000,0,0,0,687375
2020,6,366,0,0,0,0,0,0,4073.06,4073.06
2020,6,367,0,0,0,0,0,222285,0,222285
2020,6,401,466636.98,0,0,0,0,0,0,466636.98
2020,6,403,0,0,0,0,0,0,1458.33,1458.33
2020,6,404,0,0,0,0,0,0,0,0
2020,6,520,641511,103000,0,97500,0,0,0,842011
2020,6,536,0,1500,0,0,0,0,0,1500
2020,7,113,3883822.29,0,0,122500,0,129500,0,4135822.29
2020,7,114,3188125,0,0,329169.7,262900,135500,250,3915944.7
2020,7,117,208325,0,0,0,0,0,0,208325
2020,7,160,3249,0,0,0,0,0,4986.69,8235.69
2020,7,190,151600,0,0,153000,93250,0,0,397850
2020,7,215,6800,0,0,0,0,115000,0,121800
2020,7,216,9080705,0,0,0,0,0,0,9080705
2020,7,218,3512881,3110,0,0,0,0,332.5,3516323.5
2020,7,364,999128,0,0,171983,0,0,0,1171111
2020,7,365,448850,0,0,192460,0,614000,0,1255310
2020,7,366,0,0,0,0,0,0,4073.06,4073.06
2020,7,367,352000,2500,0,400500,0,567000,0,1322000
2020,7,401,4495,333120.65,0,0,0,0,0,337615.65
2020,7,403,1150,0,0,0,0,0,1458.33,2608.33
2020,7,404,0,0,0,0,0,0,0,0
2020,7,520,60500,5850,0,0,76000,0,0,142350
2020,7,536,80124,0,0,0,0,0,0,80124
2020,8,113,1740899.6,2314.69,151891,-66950,63052.5,0,0,1891207.79
2020,8,114,1021742,0,150175,274500,0,0,0,1446417
2020,8,117,694523,4050,0,135000,0,157000,0,990573
2020,8,160,65758,0,0,0,29400,0,2586.69,97744.69
2020,8,190,0,14750,0,806995,68500,1397500,0,2287745
2020,8,215,49345.92,2100,0,0,0,0,0,51445.92
2020,8,216,767030,0,0,0,0,0,0,767030
2020,8,218,1056641.27,0,0,230880,0,332771,0,1620292.27
2020,8,364,817568,0,0,0,0,0,0,817568
2020,8,365,1766235,0,0,0,0,847300,0,2613535
2020,8,367,1567886,0,0,1268650,22000,0,4073.06,2862609.06
2020,8,401,547622.22,0,0,52500,0,0,0,600122.22
2020,8,403,0,0,0,0,0,0,1458.33,1458.33
2020,8,404,0,0,26312.89,0,0,0,0,26312.89
2020,8,520,775701,0,0,0,0,0,0,775701
2020,8,536,3851,135375,0,140000,0,0,0,279226
2020,9,113,384833.5,3100,0,500596.25,0,433000.22,0,1321529.97
2020,9,114,2761141.81,5000,252938.04,422250,41650,0,0,3482979.85
2020,9,117,5537875,0,0,0,0,0,0,5537875
2020,9,160,495568.88,73000,0,0,0,0,15731.33,584300.21
2020,9,190,0,347000,0,697000,204299,90000,423343.9,1761642.9
2020,9,215,83024.44,0,0,0,0,0,0,83024.44
2020,9,216,0,0,0,0,0,0,0,0
2020,9,218,0,356850,0,172500,0,711500,0,1240850
2020,9,364,12000,3500,0,0,0,0,0,15500
2020,9,365,3318220,2500,0,0,0,0,13025,3333745
2020,9,366,0,0,0,0,0,0,17473.06,17473.06
2020,9,367,489722,0,0,0,80000,203550,0,773272
2020,9,401,0,0,0,0,0,0,0,0
2020,9,403,241300,5500,0,0,0,0,1458.33,248258.33
2020,9,404,0,0,0,0,0,0,0,0
2020,9,520,604184,0,0,64150,0,0,0,668334
2020,9,536,200189.44,0,0,0,0,0,0,200189.44
2020,10,113,1631130,21180,0,0,0,113000,0,1765310
2020,10,114,3442954.28,0,674260.4,0,0,440000,0,4557214.68
2020,10,117,405000,0,0,0,0,0,0,405000
2020,10,160,656871.71,0,38776.09,0,32000,0,4229.77,731877.57
2020,10,190,0,0,0,100000,836800,612000,0,1548800
2020,10,215,11588,0,0,867250,0,0,0,878838
2020,10,216,4704324,0,4270806.43,0,0,0,0,8975130.43
2020,10,218,1682769,0,0,386830,0,0,0,2069599
2020,10,364,1598079,3600,0,0,0,0,0,1601679
2020,10,365,461385,0,0,0,0,0,-8745.11,452639.89
2020,10,366,0,0,0,0,0,0,3754.58,3754.58
2020,10,367,5567,15505,0,0,0,75000,6750,102822
2020,10,401,0,0,0,0,0,0,0,0
2020,10,403,3765,0,0,0,73000,0,833.33,77598.33
2020,10,404,40000,0,0,173455,0,0,0,213455
2020,10,520,51926,0,0,0,0,97500,0,149426
2020,10,536,230620,3750,0,192240,120000,0,250,546860
2020,11,113,-171271,5500,0,141000,0,137982,0,113211
2020,11,114,1789806.28,0,968000,0,0,82000,0,2839806.28
2020,11,117,2618880,0,0,0,95304,0,0,2714184
2020,11,160,185385,157750,0,51500,0,0,4229.77,398864.77
2020,11,190,0,50100,0,518675,199000,1195000,0,1962775
2020,11,215,13777,0,0,24080,114000,0,0,151857
2020,11,216,2619135,0,0,0,0,0,0,2619135
2020,11,218,1042723.56,0,0,755000,0,1645725,0,3443448.56
2020,11,364,158750,0,0,0,58500,0,0,217250
2020,11,365,1883980.9,0,0,342300,0,0,0,2226280.9
2020,11,366,0,0,0,0,0,0,3754.58,3754.58
2020,11,367,0,16000,0,0,0,0,1350,17350
2020,11,401,0,0,0,0,0,0,0,0
2020,11,403,2510,0,0,154000,0,0,833.33,157343.33
2020,11,404,0,0,0,0,0,0,0,0
2020,11,520,0,0,0,345000,0,95100,0,440100
2020,11,536,407200,827,0,0,0,0,0,408027
2020,12,113,734551.37,-2047.48,154041.71,403500,0,1211174.2,35242.45,2536462.25
2020,12,114,3246988,0,184076.36,0,110000,323000,0,3864064.36
2020,12,117,578623,0,0,0,0,115000,0,693623
2020,12,160,4198702.22,278032.81,365582.23,1075142.22,119500,0,4229.77,6041189.25
2020,12,190,6212,38000,751250,2172202,431500,2324349,-2186824.14,3536688.86
2020,12,215,356181,0,0,0,0,0,0,356181
2020,12,216,2378836,0,0,0,0,0,6600,2385436
2020,12,218,1733488,0,0,0,0,912092,0,2645580
2020,12,364,2121914,137000,0,213375,0,0,0,2472289
2020,12,365,1562505,0,0,0,0,513200,0,2075705
2020,12,366,0,0,0,0,0,0,3754.58,3754.58
2020,12,367,956889,3200,0,0,0,395254,1350,1356693
2020,12,401,0,0,0,0,0,0,0,0
2020,12,402,0,0,0,0,0,0,8333.33,8333.33
2020,12,403,4510,31900,0,107000,0,0,0,143410
2020,12,404,0,0,0,132000,0,0,0,132000
2020,12,520,235376,0,0,330554,69815,0,0,635745
2020,12,536,391337.89,0,0,0,25000,0,0,416337.89
2021,1,113,411718,0,0,7455.93,0,0,7048.49,426222.42
2021,1,114,1329427,0,0,588454.88,0,0,0,1917881.88
2021,1,117,1496490,0,0,0,0,0,0,1496490
2021,1,160,576846.35,1500,0,0,34500,490000,4229.77,1107076.12
2021,1,190,0,66500,0,145000,250000,931497.9,0,1392997.9
2021,1,215,5500,0,0,112000,0,0,0,117500
2021,1,216,6000,0,493436.56,0,0,0,0,499436.56
2021,1,218,1594855,0,0,0,0,0,0,1594855
2021,1,364,919978,0,0,0,0,0,0,919978
2021,1,365,2482200,0,0,0,0,0,0,2482200
2021,1,366,0,0,0,0,0,0,2404.58,2404.58
2021,1,367,429015,6958,0,103850,98300,165133,1350,804606
2021,1,401,0,0,0,0,0,0,0,0
2021,1,403,0,0,0,0,0,0,7500,7500
2021,1,404,0,0,0,80000,0,0,0,80000
2021,1,520,0,0,0,0,0,0,0,0
2021,1,536,17000,0,0,0,0,0,0,17000
2021,2,113,131836,79950,0,142900,0,0,7048.49,361734.49
2021,2,114,3399737,0,926166.88,-308953.88,0,-135000,0,3881950
2021,2,117,1166305,0,0,0,0,0,0,1166305
2021,2,160,949827.18,5500,0,0,0,139427,4229.77,1098983.95
2021,2,190,0,349183,0,556300,541000,77472,0,1523955
2021,2,215,1804352.95,2070,0,0,0,89000,0,1895422.95
2021,2,216,195200,0,0,0,0,0,-600,194600
2021,2,218,0,5800,0,82000,0,0,0,87800
2021,2,364,2013794,16300,0,117000,0,0,0,2147094
2021,2,365,174261.92,0,0,544000,0,0,0,718261.92
2021,2,366,0,0,0,0,0,0,2404.58,2404.58
2021,2,367,280995,3500,0,812138,0,265885,1350,1363868
2021,2,401,0,0,0,0,0,0,0,0
2021,2,403,0,3700,0,0,0,0,-7500,-3800
2021,2,404,4500,337905,0,0,0,0,0,342405
2021,2,520,487644,10.27,0,0,0,132000,0,619654.27
2021,2,536,0,0,0,139771,0,0,0,139771
2021,3,113,2689376.2,187000,0,0,118400,0,7048.49,3001824.69
2021,3,114,6301581,147000,0,261000,0,647250,0,7356831
2021,3,117,189650,0,0,108000,0,0,0,297650
2021,3,160,904768.89,64395,0,0,0,131250,4229.77,1104643.66
2021,3,190,30000,0,0,4847025,470475,579800,-4650,5922650
2021,3,215,1042222.67,67000,0,66249.85,85600,395430,0,1656502.52
2021,3,216,1912632,0,0,98800,0,80188,0,2091620
2021,3,218,3790133,0,0,561675,0,0,0,4351808
2021,3,364,4263179,0,0,137891,0,220166,0,4621236
2021,3,365,265000,231000,0,147367,0,465000,0,1108367
2021,3,366,0,0,0,0,0,0,729.58,729.58
2021,3,367,1227266.04,190950,0,185000,0,437735,1350,2042301.04
2021,3,401,0,0,0,0,0,0,0,0
2021,3,403,1455,0,0,0,0,0,0,1455
2021,3,404,16682,2500,0,0,0,0,0,19182
2021,3,520,386575,0,0,0,0,1413650,0,1800225
2021,3,536,159876,0,0,131500,0,0,0,291376
2021,4,113,1668632.43,2900,0,310070,0,1510965.4,7048.49,3499616.32
2021,4,114,3674938.9,244531,0,275500,0,342215,0,4537184.9
2021,4,117,605000,0,841968.25,0,0,0,0,1446968.25
2021,4,160,2233050.95,0,0,0,0,0,4229.77,2237280.72
2021,4,190,0,10700,0,640000,655000,563248,0,1868948
2021,4,215,1748345,0,0,81200,121052,0,750,1951347
2021,4,216,4834833.7,0,6117299.62,0,0,0,0,10952133.32
2021,4,218,896567,0,0,573890,0,0,0,1470457
2021,4,364,1068383,0,0,364317.1,172000,185069.63,0,1789769.73
2021,4,365,995617,4800,170000,0,0,239500,0,1409917
2021,4,366,0,0,0,0,0,0,729.58,729.58
2021,4,367,2858667.06,3510,0,174500,0,0,1350,3038027.06
2021,4,401,0,0,0,0,0,0,0,0
2021,4,403,7400,1000,0,0,0,0,0,8400
2021,4,404,0,3750,0,130000,0,0,0,133750
2021,4,520,70190,0,0,124100,0,0,0,194290
2021,4,536,104339,0,0,0,0,0,0,104339
2021,5,113,540527,0,0,0,42500,0,7048.49,590075.49
