Year,Period,Branch,New Equipment Sales,Used Equipment Sales,RPO Sales,Re-Marketing Sales,Trade-In Sales,RtoR Sales,Other,Total Equipment,RF Revenue,RPO Revenue,Re-Rent Revenue,Loaner Revenue,Loaner Internal,Used Rental,Total Rental,Parts Counter,Parts Shop,Parts Warranty,Warranty Settlement,Warranty Settlement - Adj,Parts Internal,Parts Internal - CSA Cust,Parts Internal - CSA Rental,Parts Internal - ACAP,Parts Internal - EM,Total Parts,Customer,Warranty,Internal,Sublet,Total Service
2019,1,366,0,0,0,0,0,0,5748.06,5748.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,367,459127,0,183400.13,0,0,419000,19725,1081252.13,147959.41,9000,0,0,0,103924.98,270134.39,334971.82,196804.48,125300.91,16370.1,0,76692.19,10936.43,0,165415.37,0,926491.3,164573.85,42254.5,79355.5,6343.81,292527.66
2019,1,401,1400,0,0,138000,0,0,4843.05,144243.05,0,0,0,0,0,21271.52,21271.52,51020.69,9213.27,1065.68,971.13,0,5611.81,0,0,0,0,67882.58,14358.75,1535,9144.25,144,25182
2019,1,403,0,0,0,0,0,0,1291.67,1291.67,0,0,0,0,0,6750,6750,39977.92,60542.06,7293.57,710.45,0,100.57,3609.11,0,298.61,0,112532.29,11323.5,6146.75,6013.75,0,23484
2019,1,404,20868,0,0,0,0,0,6076.5,26944.5,0,11850,28000,0,0,47733.33,87583.33,9180.4,5595.38,4730.97,211.62,0,5298.61,0,0,0,0,25016.98,11152,3893,13028,964.93,29037.93
2019,1,520,3867,3850,0,0,0,0,0,7717,55546.66,0,0,0,0,52160,107706.66,68759.89,29423.53,11239.05,2365.19,0,1171.75,4723.17,0,0,0,117682.58,48252.37,4242,15321.75,3955.15,71771.27
2019,1,536,24796.25,0,0,0,0,0,0,24796.25,0,0,0,0,0,0,0,46846.22,13106.38,10823.24,942.88,0,11399.81,0,0,0,0,83118.53,12611.5,2336,13583.5,11086.58,39617.58
2019,2,113,326341.24,0,118325,0,0,0,0,444666.24,64158.33,29708,0,0,0,49857.01,170090,172507.95,102576.04,71597.91,-1682.84,0,37568.72,308.88,0,981.96,0,383858.62,97794.06,49617.75,59212.25,13523.67,220147.73
2019,2,114,1362933.69,380,0,160000,0,0,3325,1526638.69,99968,28820,0,0,0,29050,191208,321105.76,80758.02,80765.8,-1287.97,0,28423.06,43519.46,0,3026.15,0,556310.28,105730.75,18786.5,94894.18,8333.2,227744.63
2019,2,117,11950,0,0,0,0,0,2222,14172,29775,24000,0,0,0,10000,63775,116715.44,20332.03,12737.19,2230.01,0,8834.69,3084.5,0,11099.61,0,175033.47,30118.75,15414.16,21909.75,4310.02,71752.68
2019,2,160,21113.08,0,0,0,0,0,5786.69,26899.77,62945,8825,0,0,0,64950,153470,172262.48,78642.47,34444.69,205.13,0,8273.23,3257.02,0,0,0,297085.02,83246.43,27107,31169.5,3608.98,145131.91
2019,2,190,163236,84408.75,0,1153650,299932.5,580537.5,0,2281764.75,6500,42500,0,0,0,0,49000,0,0,0,-38.48,0,0,0,0,0,0,-38.48,0,0,0,0,0
2019,2,215,45000,50111,0,0,0,0,0,95111,4466.66,0,0,0,0,14650,27807.66,128338.98,151402.47,19406.9,-6024.46,0,23903.72,5863.65,0,19010.07,0,341901.33,81238.25,24584,55556.5,4723.51,166102.26
2019,2,216,5016564,0,0,0,0,0,0,5016564,23000,0,0,0,0,0,33500,90078.53,19818.56,25864.92,1157.84,0,34742.89,10377.36,0,53642.21,0,235682.31,37967.25,19162.5,47173.5,5304.26,109607.51
2019,2,218,2440505,0,0,275630,0,0,0,2716135,155366.66,8550,0,0,0,130900,329216.66,77765.16,30274.17,45900.02,1145.85,0,17109.5,1660.31,0,294.33,0,174149.34,31926.25,12901,41173.25,227.79,86228.29
2019,2,364,1696165,0,0,159842,0,0,0,1856007,46933.32,0,0,0,0,45110,110893.32,5476.61,24797.49,8218.11,-338.11,0,2886.43,773.59,0,4479.02,0,46293.14,23711.75,12261,12380.38,0,48353.13
2019,2,365,776950,53500,0,0,0,0,0,830450,178462,-22500,18000,0,0,95377.66,309295.66,177859.38,70003.92,64510.83,2138.88,0,30118.72,3824.39,0,10062.98,0,358519.1,53742.5,48640.25,80762,7269.72,190414.47
2019,2,366,0,0,0,0,0,0,5748.06,5748.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,2,367,608556,0,0,0,0,0,19725,628281,82913,0,0,0,0,133729.16,219392.16,187366.62,368888.04,114464.27,8695.23,0,21583.92,8763.2,0,3912.69,0,713673.97,168852.75,38020.5,74860.5,7792.52,289526.27
2019,2,401,62850,4700,0,0,0,0,4843.05,72393.05,0,0,0,0,0,21862.16,21862.16,37967.05,3296,0,0,0,1560.32,0,0,0,0,42823.37,4211.5,0,3144.5,0,7356
2019,2,403,195278,0,0,0,0,0,1291.67,196569.67,0,0,0,0,0,7575,7575,26914.31,1371.01,2675.02,302.66,0,0,1587.91,0,0,0,32850.91,3832.75,3077.5,2217,0,9127.25
2019,2,404,0,6000,81130.29,0,0,0,6076.5,93206.79,0,3950,14000,0,0,56500,74450,9917.81,13106.11,4841.55,283.57,0,1639.42,0,0,0,0,29788.46,8089.25,3504.5,4983,0,16576.75
2019,2,520,408257,0,0,0,0,0,0,408257,34195,0,0,0,0,11924.99,46119.99,195106.52,31478.16,31621.69,148.12,0,2968.57,0,0,0,0,261323.06,35095,15186,18058,1105.84,69444.84
2019,2,536,163383,0,0,0,0,305000,0,468383,14600,0,0,0,0,10500,35600,40766.52,19500.07,165.94,396.45,0,9280.33,433.98,0,0,0,70543.29,30903.75,1478,9971.5,9634.88,51988.13
2019,3,113,772492.98,67000,0,172500,186750,0,1000,1199742.98,94725,33958,0,0,0,118385.01,271068.01,190281.24,171681.57,47495.17,-2020.85,0,35978.82,1117.18,0,4462.78,0,448995.91,125903.54,44886,62908.25,13522.45,247220.24
2019,3,114,1540555.25,4250,0,0,0,0,3325,1548130.25,67410,52620,0,0,0,111338,303068,401121.74,115435.36,39200.78,3463.31,0,64043.46,20442.79,0,-277.47,0,643429.97,100735.42,29847.5,87040.87,713.19,218336.98
2019,3,117,168330.5,0,0,125099.31,0,0,2222,295651.81,20275,24000,0,0,0,17150,73825,71204.85,30386.14,2327.66,206.4,0,6404.81,762.88,0,92050.82,0,203343.56,37461.21,8831.84,32407.5,10834.47,89535.02
2019,3,160,494330,4550,0,280200,0,0,5786.69,784866.69,27295,2175,8695,0,0,83575,134490,170624.95,65212.52,29800.16,30.04,0,21458.95,9504.34,0,3879.47,0,300510.43,71645.56,37440.25,63696.75,84.87,172867.43
2019,3,190,34637,479750,0,2023995,61500,0,0,2599882,6500,42500,0,0,0,7250,56250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,3,215,613084,0,0,0,0,0,0,613084,12500,0,0,0,0,13400,34591,184203.83,88229.34,36601.82,1292.69,0,30420.24,22795.81,0,6599.45,0,370143.18,76813,29474.75,67218,10415.98,183921.73
2019,3,216,21216,0,0,129675,0,0,0,150891,17200,25000,0,0,0,30525,83225,131009.16,43928.6,27155.63,1759.97,0,30882.53,8753.79,0,5436.95,0,248926.63,49811.75,50614.75,48508.25,3412.14,152346.89
2019,3,218,980840,3500,0,624757,0,-3000,0,1606097,195850,8550,0,0,0,155850,377250,130736.34,90551.8,40125.88,2514.93,0,63202.85,12284.61,0,17212.07,0,356628.48,49900.21,16560,74423.5,7588.92,148472.63
2019,3,364,3784868,0,0,64150,0,0,0,3849018,32550,9000,0,0,0,88777.5,158577.5,32592.06,54587.11,55599.13,1529.46,0,7603.52,0,0,8542.57,0,160453.85,44727,29892.5,14823,720,90162.5
2019,3,365,664855,0,0,835910,0,0,0,1500765,201295.32,0,18000,0,0,80725,355676.32,100069.83,53020.19,38566.25,9386.56,0,71002.62,2964.83,0,29751.79,0,304762.07,51301,21429.75,86130.25,3813.74,162674.74
2019,3,366,0,0,0,0,0,0,5748.06,5748.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,3,367,188500,0,0,1329000,0,857618.47,19725,2394843.47,61718.33,0,0,0,0,52883.32,117351.65,249959.23,220987.27,166586.06,2134.04,0,18700.49,7309.56,0,45849.46,0,711526.11,152673.36,47605.5,83216,17377.83,300872.69
2019,3,401,1400,4800,0,0,0,0,4843.05,11043.05,0,8250,0,0,0,27034,35284,151574.25,2517.58,1714.57,-311.49,0,305.78,0,0,0,0,155800.69,8901.25,3356.75,2260.25,0,14518.25
2019,3,403,0,0,0,0,0,0,1291.67,1291.67,0,0,0,0,0,12075,12075,32554.74,1515.06,5306.13,547.83,0,220.73,1915.41,0,0,0,42059.9,3198.75,5786.5,7081.25,0,16066.5
2019,3,404,0,4000,0,0,0,0,6076.5,10076.5,0,0,-32666.67,0,0,38083.3,5416.63,13627.96,8132.94,12367.88,340.03,0,3566.8,0,0,0,0,38035.61,13772.25,5175.25,8384.25,250,27581.75
2019,3,520,1815,0,0,0,0,991170,0,992985,34195,7200,0,0,0,11200,52595,164806.39,55286.14,12488.77,4582.02,0,4050.21,1807.44,0,0,0,243020.97,56232.5,3424,13874.5,189.1,73720.1
2019,3,536,956476,0,0,0,0,0,0,956476,6200,0,0,0,0,14070,30770,57904.42,20419.71,4769.74,1346.62,0,6485.39,3230.52,0,4312.66,0,98469.06,14898.75,2368,8272,-300,25238.75
2019,4,113,1311248,0,0,0,1000,272500,0,1584748,136734.66,43958,0,0,0,99940.34,290476.33,274669.2,96148.07,19531.94,232.43,0,-5050.88,419.84,0,2217.93,0,388168.53,105546.67,24220.5,54130.5,8990.55,192888.22
2019,4,114,1062522.25,0,0,0,0,0,3325,1065847.25,123876.66,36420,0,0,0,122402.32,342283.98,417988.27,117893.24,34563.01,2644.03,0,-22290.29,7704.94,0,5531.41,0,564034.61,151677.65,19936,98935.13,3974.79,274523.57
2019,4,117,936265.21,0,0,233446.24,0,0,2222,1171933.45,14241.66,24000,0,0,0,26895,77536.66,90565.68,36597.12,16548.94,66.61,0,-672.53,-516.9,0,88159.92,0,230748.84,42467.75,20576,38243.5,1416.27,102703.52
2019,4,160,1080952.81,4900,0,124306,0,0,5786.69,1215945.5,78070,9250,8695,0,0,72275,168290,168288.45,67113.63,21689.4,1638.68,0,10334.8,-624.27,0,999.81,0,269440.5,72023.95,26948,55076.5,0,154048.45
2019,4,190,-87487,7900,0,883575,492912.5,346290,0,1643190.5,86500,42500,0,0,0,60250,189250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,215,75378,0,0,369000,0,0,0,444378,22500,0,0,0,0,3400,17209,215923.07,123576.31,81106.81,2937.06,0,44580.93,-2537.82,0,1246.27,0,466832.63,97811.01,27121.5,90306.5,6885.81,222124.82
2019,4,216,1845,0,0,0,0,0,0,1845,23666.66,35000,0,0,0,0,69166.66,81510.62,29463.12,52778.54,7910.39,0,569.72,6519.99,0,6006.72,0,184759.1,43496,39487.75,80236.75,3066.92,166287.42
2019,4,218,246000,6850,0,1448452,0,158000,0,1859302,144823.66,34300,0,0,0,114916.66,324623.32,135611.3,40634.9,6909.41,2446.47,0,-12225.43,452.29,0,2173.19,0,176002.13,43766.25,8192,44045,1059.98,97063.23
2019,4,364,1185995,0,0,368995,0,0,0,1554990,47250,28500,0,0,0,45110,141610,69154.23,19734.5,20804.8,6835.69,0,-1552.74,-92.28,0,36195.37,0,151079.57,27561.75,16928.75,21066.25,861.23,66417.98
2019,4,365,1982724,2900,0,235000,0,0,0,2220624,230618,0,18000,0,0,67600,380874,156739.96,34006.33,54192.46,6912.76,0,17522.7,-1682.83,0,37982.73,0,305674.11,54416.75,37077.75,93455.25,1650.89,186600.64
2019,4,366,0,0,0,0,0,0,5748.06,5748.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,367,487784,260009.87,0,622000,0,90050,19725,1479568.87,81234.98,5485,0,0,0,94233.34,183703.32,257629.12,146597.74,34940.74,15229.03,0,50340.52,-1270.24,0,64863.63,0,568330.54,153985.86,35949.25,82898.5,10927.78,283761.39
2019,4,401,1600,57000,0,0,0,0,4843.05,63443.05,0,8250,0,0,0,21534,29784,42302.4,46,0,342.92,0,-1661.03,0,0,0,0,41030.29,2986.25,0,4444,0,7430.25
2019,4,403,2242,0,0,0,0,0,1291.67,3533.67,0,0,0,0,0,7575,7575,21278,4925.45,172.35,762.56,0,700.66,-872.5,0,0,0,26966.52,5555,1105,1332.5,0,7992.5
2019,4,404,0,0,0,0,0,0,6076.5,6076.5,0,6700,0,0,0,21183.32,27883.32,8422.33,20757.89,7499.33,1274.79,0,-2072.25,0,0,0,0,35882.09,25729.75,3830.5,20080,0,49640.25
2019,4,520,514299.13,2710,0,218772,0,97500,0,833281.13,49603.64,7200,0,0,0,8800,65603.64,102592.09,51948.14,14107.97,1128.7,0,24724.56,-1544.12,0,3847.2,0,196804.54,44163,6208,26835.5,554.92,77761.42
2019,4,536,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,11570,46403.35,34278.99,2300.05,1009.16,0,-5482.57,-1153.97,0,2812.1,0,80167.11,51713.25,3383.5,10756,2321.18,68173.93
2019,5,113,354972.5,661140,0,483080.28,0,911584,0,2410776.78,174998,73158,0,0,0,67687.82,327353.82,286304.97,134309.85,64607.92,2749.36,0,19598.53,8991.16,0,17.44,0,516579.23,117880.75,53301,66040,12613.01,249834.76
2019,5,114,788758,59500,0,1137150,0,0,3325,1988733,134545,43310,0,0,0,96655.66,338210.66,389093.25,144936.52,25914.43,-643.41,0,24175.01,21668.79,0,1740.53,0,606885.12,153552.72,11102.5,114026.29,2555.42,281236.93
2019,5,117,299111,189355,0,0,0,0,2222,490688,15750,36000,0,0,0,28300,92450,127401.25,27287.01,63184.7,1434.43,0,6258.32,1326.37,0,58163.36,0,285055.44,29489,19732,21079.25,6222.69,76522.94
2019,5,160,3830578.48,0,0,184085,1400500,0,5786.69,5420950.17,88605,24425,8695,0,9627.5,-9750.01,121602.49,197804.18,56121.3,27670.02,145.34,0,30781.19,4625.34,0,215.43,0,317362.8,72495.75,18927.5,49694,2651.57,143768.82
2019,5,190,0,17000,0,1153041,37000,170000,0,1377041,46500,42500,0,0,0,57500,146500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,5,215,38797,0,0,0,0,0,750,39547,54250,0,0,0,0,14900,69150,200677.81,111048.87,29702.09,732.53,0,40697.46,75351.81,0,4461.27,0,462671.84,75536.3,24253,108736.25,3904.43,212429.98
2019,5,216,776121,0,0,0,0,0,0,776121,25000,45000,0,0,0,100500,191500,127647.61,60814.7,40559.99,5162.97,0,10443.81,6036.24,0,-813,0,249852.32,67952.71,32659.75,49440,15128.11,165180.57
2019,5,218,1209620.93,0,0,129035,0,257020.09,0,1595676.02,145559,34000,0,0,0,65892,241201,192496.28,37376.86,15418.31,2123.83,0,15924.58,4837.83,0,25914.59,0,294092.28,36934.5,18775,54978,1809.07,112496.57
2019,5,364,3737995,0,0,574591,0,0,0,4312586,35616.66,18750,0,0,0,56360,131476.66,84568,78026.46,12114.42,1830.03,0,9192.6,1136.59,0,16376.81,0,203244.91,38141,19443.5,24430,2098.04,84112.54
2019,5,365,27302,208250,0,252500,0,284650,0,772702,331394.14,14400,27000,0,0,89464.97,545265.11,252736.42,96724.47,121866.02,3078.8,0,20039.09,5062.26,0,34215.26,0,533722.32,61200.25,38378,70473,1793.34,171844.59
2019,5,366,0,0,0,0,0,0,5748.06,5748.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,5,367,270945,0,0,2006000,0,-161500,19725,2135170,107810,5485,0,0,0,49233.33,181128.33,382944.52,171513.76,69227.44,3272.5,0,35979.52,8998.03,0,24308.14,0,696243.91,157194.69,33090.25,89642,9573.36,289500.3
2019,5,401,0,0,0,0,0,0,4843.05,4843.05,750,8250,0,0,0,33534,42534,38384.62,9745.36,3184.65,0,0,782.64,0,0,-658.11,0,51439.16,16806.25,3149.5,14274.75,0,34230.5
2019,5,403,0,0,0,0,0,0,1291.67,1291.67,0,0,0,0,0,8325,8325,30547.82,8030.1,1974.12,394.82,0,0,0,0,0,0,40946.86,8214,774.25,3300.75,0,12289
2019,5,404,724000,9000,0,0,0,0,6076.5,739076.5,0,14700,0,0,0,19650,34350,5291.92,2995.29,549.33,1382.27,0,2523.81,0,0,0,0,12742.62,11931.75,896.5,8061.75,0,20890
2019,5,520,34802,0,0,0,0,0,0,34802,28670,7200,0,0,0,27125,71545,115746.25,54784.36,9333.07,-2677.69,0,12036.41,3218.78,0,2458.15,0,194899.33,55420,3456,21530.25,1638.78,82045.03
2019,5,536,714751.42,0,0,0,0,0,0,714751.42,13400,0,0,0,0,0,20765,49215.11,61186.81,17215.09,255.73,0,530.5,0,0,1598.75,0,130001.99,35633.5,4639,9761.5,729.32,50763.32
2019,6,113,435608.25,0,527549.16,844688.58,0,0,0,1807845.99,138339.66,31532,0,0,0,45352.22,235183.88,275658.4,113346.51,34953.12,-681.93,0,12076.2,1453.97,0,3707.84,0,440514.11,100054.7,18197,62608.75,15310.46,196170.91
2019,6,114,1962029.22,0,132293.52,0,0,0,3325,2097647.74,140953.32,29530,0,0,0,100713,322996.32,375900.52,71321.35,38250.27,3618.5,0,23343.35,26533.29,0,8220.54,0,547187.82,100866.75,24804.15,93980.97,436.49,220088.36
2019,6,117,55960,0,902874.4,0,0,0,2222,961056.4,24300,-12000,0,0,0,27316.66,52016.66,60253.81,21753.2,13464.97,6591.72,0,1996.17,616.11,0,126933.77,0,231609.75,33533.25,16218,27485,2278.09,79514.34
2019,6,160,1247314,0,0,250690,0,0,5786.69,1503790.69,57695,24425,8695,0,2750,4979.17,98544.17,149689,75243.57,7946.06,137.38,0,22363.3,1036.04,0,1687.42,0,258102.77,78877.75,14144,38879.5,2473.4,134374.65
2019,6,190,43041,0,0,2824550,66000,260000,0,3193591,54500,42500,0,0,0,40750,137750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,215,111940,0,0,0,0,265000,0,376940,87500,0,0,0,0,59300,146800,266662.3,110033.1,89724.79,4659.28,0,54718.22,3001.46,0,3799.29,0,532598.44,55300.75,33868.25,92379,1695.78,183243.78
2019,6,216,3150,0,0,147000,0,0,0,150150,33550,35000,0,0,0,71265,150315,102387.51,37181.14,66179.51,2367.57,0,16974.11,15959.87,0,48183.86,0,289233.57,49737.25,38944.5,53045.75,8418.93,150146.43
2019,6,218,2244425.99,0,0,296363.36,0,76848.17,0,2617637.52,109296,34000,0,0,1929.69,67345.82,212571.51,117197.91,53836.97,22156.88,771.36,0,9238.09,4359.39,0,7924.45,0,215485.05,52057.5,15850.5,41065,6643.17,115616.17
2019,6,364,1042187,0,0,438772,0,0,0,1480959,56050,23500,0,0,0,31360,131660,54895.62,59654.78,8456.32,1860.99,0,5470.73,709.25,0,44956.39,0,176004.08,40970.75,18231.5,22205,680.93,82088.18
2019,6,365,463274,0,0,169500,0,430000,0,1062774,232889.64,7200,18000,0,0,54942.67,361236.31,135713.72,109229.39,33434.85,15885.8,0,45647.15,1890.22,0,46263.75,0,388064.88,87833.25,43064.5,96741.75,6539.15,234178.65
2019,6,366,0,0,0,0,0,0,5748.06,5748.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,367,2249760,0,212522,98920,35000,0,18375,2614577,91710,-5485,0,0,50,66713.13,155738.13,176799.27,189964.57,32634.47,4503.58,0,44386.53,3326.64,0,42906.67,0,494521.73,186590.23,20693,99071.5,8555.6,314910.33
2019,6,401,6300,4200,0,90000,0,0,4843.05,105343.05,5100,44250,0,0,0,73734,123084,62050.57,2529.06,0,-214.95,0,952.32,0,0,0,0,65317,5136.5,0,8641.25,30,13807.75
2019,6,403,2800,70525,0,0,0,0,1291.67,74616.67,0,0,0,0,0,21825,21825,59223.03,21255.49,65557.42,0,0,0,416.66,0,0,0,146452.6,15414.25,7294.25,7368.5,11872.16,41949.16
2019,6,404,21200,0,0,0,0,0,6076.5,27276.5,0,6700,0,0,0,43349.98,50049.98,23018.99,30357.31,-220.36,109.87,0,2653.77,0,0,0,0,55919.58,23004,-163,11830.75,0,34671.75
2019,6,520,161800,0,0,105000,0,0,0,266800,27320,2400,0,0,0,1975,40245,96032.86,80718.99,8348.84,29.71,0,7593.11,0,0,784.61,0,193508.12,34951.75,3520,21775,667.36,60914.11
2019,6,536,19959.76,0,0,113000,0,185000,0,317959.76,8000,9050,0,0,0,-3500,11095,68527.51,49821.34,10963.84,3210.79,0,5454.57,1035.58,0,0,0,139013.63,32233.89,3104,12799,4029.59,52166.48
2019,7,113,924621,-150,0,215625,352000,372000,0,1864096,94409.99,51625,0,0,0,28647.6,185825.92,233115.13,169532.5,97610.4,4038.33,0,20115.35,3590.96,0,56129.04,0,584131.71,138373.5,33959.55,54932.25,12455.41,239720.71
2019,7,114,2283547.56,0,0,0,0,0,3325,2286872.56,138073.33,60110,0,0,14274.94,176371,458429.27,318363.04,83448.64,21742.63,3084.58,0,34192.64,20765.97,0,1281.05,0,482878.55,118325.98,12983,114836.64,8912.73,255058.35
2019,7,117,448940,0,0,0,0,0,0,448940,15750,0,0,0,0,15600,43750,51711.9,11383.18,6225.71,1747.37,0,1841.87,208.48,0,70050.28,0,143168.79,24468.5,10385,31945.75,9434.18,76233.43
2019,7,160,557861,56795,0,0,0,0,6036.69,620692.69,55645,27425,8695,0,0,12375,104140,157949.34,79047.31,8279.67,1743.82,0,53494.89,2129.4,0,360.19,0,303004.62,79979.5,8572,41721.25,0,130272.75
2019,7,190,1626322,0,0,1092300,0,1545000,0,4263622,-105500,42500,0,0,0,3250,-59750,0,0,0,16.05,0,0,0,0,0,0,16.05,0,0,0,0,0
2019,7,215,489710,0,0,0,0,0,0,489710,99933.32,0,0,0,0,16650,116583.32,212281.53,281130.55,57852.39,2950.42,0,49414.62,4615.26,0,2619.16,0,610863.93,133583.1,47780.5,83758.5,8860.81,273982.91
2019,7,216,684325,0,0,0,0,0,0,684325,900,35000,0,0,0,9000,55400,91878.53,49463.51,31346.93,12746.23,0,39984.73,10427.59,0,4677.5,0,240525.02,59572.25,31841.75,58654.25,10049.96,160118.21
2019,7,218,948014.61,28400,0,170000,0,0,0,1146414.61,128709.47,34000,0,0,27327.82,97034.47,287071.76,136791.85,42225.26,10428.2,5426.87,0,12880.19,10546.55,0,37279.01,0,255577.93,41218.75,11072,44675.5,3280.49,100246.74
2019,7,364,0,1530,0,5875,0,0,0,7405,77000,32500,0,0,0,51360,181610,76174.39,30921.36,12525.23,887.43,0,8941.32,0,0,15135.93,0,144585.66,37214.25,22909.75,15673.5,200,75997.5
2019,7,365,436525,1800,0,276500,0,0,0,714825,324224.21,7200,15000,0,2453.75,44333.32,446729.94,142317.62,118096.77,81339.66,11813.8,0,49327.57,2579.84,0,-9357.38,0,396117.88,89685.75,56548.75,82084,10960.43,239278.93
2019,7,366,0,0,0,0,0,0,5748.06,5748.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,367,426975,0,0,160000,0,0,18375,605350,51294.46,0,0,0,10104.87,69882.18,134031.51,336380.6,112147.88,37977.68,5584.47,0,42645.69,5647.84,0,25831.36,0,566215.52,126085.5,28187,63525.5,9182.91,226980.91
2019,7,401,0,12500,0,140000,0,0,4843.05,157343.05,30800,8250,0,0,0,91334,139884,39008.31,150.54,0,0,0,368.58,0,0,0,0,39527.43,815,0,10432,0,11247
2019,7,403,1500,0,0,0,0,0,1291.67,2791.67,0,5000,0,0,0,52075,57075,14944.07,16542,0,148.12,0,0,0,0,0,0,31634.19,7293,0,2037.5,3720.14,13050.64
2019,7,404,267000,0,0,0,0,0,6076.5,273076.5,6000,-20100,0,0,0,84566.66,70466.66,25965.92,47145.19,0,0,0,13978.38,0,0,0,0,87089.49,23558.75,0,19477.75,263.09,43299.59
2019,7,520,166000,0,0,0,0,0,0,166000,60161.66,0,0,0,0,87765,165026.66,156049.3,56969.65,38347.75,201.75,0,11636.68,0,0,1786.68,0,264991.81,40853.75,16433,19393.25,-69.65,76610.35
2019,7,536,312229.51,0,0,0,0,0,0,312229.51,8000,14300,0,0,0,0,22300,79082.44,41850.86,10949.4,-20.19,0,1869.21,564.61,0,0,0,134296.33,26219.5,8700,8551.5,4175,47646
2019,8,113,587856.25,4000,0,256327.81,0,0,0,848184.06,92423,21100,0,0,10926.57,38785.34,171594.91,263271.24,154561.36,67776.5,4687.41,0,17329.01,6900.58,0,58558.37,0,573084.47,137702.5,31887.75,75723.25,19290.52,264604.02
2019,8,114,2538597,0,0,125350,0,67425.85,0,2731372.85,122850,63070,0,0,6422.14,201953,449295.14,319526.52,133672.67,46657.2,5890.79,0,36976.17,23423.3,0,8229.02,0,574375.67,165966.37,21770.75,125434.22,7063.51,320234.85
