Year,Period,Branch,Branch Name,Parts Counter,Parts Shop,Parts Other,Service Customer,Service Warranty,Service Internal,Service Sublet,Service CSA,Service ACAP,Parts All,Service All
2019,3,113,Raleigh,190281.24,171681.57,87033.1,125903.54,44886,58970.75,13522.45,1281.5,2656,448995.91,247220.24
2019,3,114,Charlotte,401121.74,115435.36,126872.87,100735.42,29847.5,71550.37,713.19,15490.5,0,643429.97,218336.98
2019,3,117,Greenville,71204.85,30386.14,101752.57,37461.21,8831.84,15437,10834.47,3466.5,13504,203343.56,89535.02
2019,3,160,Asheville,170624.95,65212.52,64672.96,71645.56,37440.25,58330.75,84.87,3830,1536,300510.43,172867.43
2019,3,215,Columbia,184203.83,88229.34,97710.01,76813,29474.75,54420,10415.98,10712,2086,370143.18,183921.73
2019,3,216,Piedmont,131009.16,43928.6,73988.87,49811.75,50614.75,34628,3412.14,10680.25,3200,248926.63,152346.89
2019,3,218,Charleston,130736.34,90551.8,135340.34,49900.21,16560,60020,7588.92,10435.5,3968,356628.48,148472.63
2019,3,364,Macon,32592.06,54587.11,73274.68,44727,29892.5,10279,720,0,4544,160453.85,90162.5
2019,3,365,Savannah,100069.83,53020.19,151672.05,51301,21429.75,76322,3813.74,1473.75,8334.5,304762.07,162674.74
2019,3,367,Buford,249959.23,220987.27,240579.61,152673.36,47605.5,71131.75,17377.83,5658.75,6425.5,711526.11,300872.69
2019,3,520,Knoxville,164806.39,55286.14,22928.44,56232.5,3424,13199.5,189.1,675,0,243020.97,73720.1
2019,3,536,Chattanooga,57904.42,20419.71,20144.93,14898.75,2368,6518,-300,1370,384,98469.06,25238.75
2019,4,113,Raleigh,274669.2,96148.07,17351.26,105546.67,24220.5,51164.25,8990.55,2038.25,928,388168.53,192888.22
2019,4,114,Charlotte,417988.27,117893.24,28153.1,151677.65,19936,66079.88,3974.79,29975.25,2880,564034.61,274523.57
2019,4,117,Greenville,90565.68,36597.12,103586.04,42467.75,20576,24360.5,1416.27,763,13120,230748.84,102703.52
2019,4,160,Asheville,168288.45,67113.63,34038.42,72023.95,26948,50191,0,3797.5,1088,269440.5,154048.45
2019,4,215,Columbia,215923.07,123576.31,127333.25,97811.01,27121.5,85603.5,6885.81,4607,96,466832.63,222124.82
2019,4,216,Piedmont,81510.62,29463.12,73785.36,43496,39487.75,57871.25,3066.92,18237.5,4128,184759.1,166287.42
2019,4,218,Charleston,135611.3,40634.9,-244.07,43766.25,8192,36091,1059.98,6354,1600,176002.13,97063.23
2019,4,364,Macon,69154.23,19734.5,62190.84,27561.75,16928.75,12806.25,861.23,0,8260,151079.57,66417.98
2019,4,365,Savannah,156739.96,34006.33,114927.82,54416.75,37077.75,83628.5,1650.89,451.25,9375.5,305674.11,186600.64
2019,4,367,Buford,257629.12,146597.74,164103.68,153985.86,35949.25,74324.5,10927.78,5737,2837,568330.54,283761.39
2019,4,520,Knoxville,102592.09,51948.14,42264.31,44163,6208,25875.5,554.92,0,960,196804.54,77761.42
2019,4,536,Chattanooga,46403.35,34278.99,-515.23,51713.25,3383.5,8412,2321.18,200,2144,80167.11,68173.93
2019,5,113,Raleigh,286304.97,134309.85,95964.41,117880.75,53301,62685.5,12613.01,3290.5,64,516579.23,249834.76
2019,5,114,Charlotte,389093.25,144936.52,72855.35,153552.72,11102.5,87571.54,2555.42,25654.75,800,606885.12,281236.93
2019,5,117,Greenville,127401.25,27287.01,130367.18,29489,19732,13605.25,6222.69,1445.5,6028.5,285055.44,76522.94
2019,5,160,Asheville,197804.18,56121.3,63437.32,72495.75,18927.5,44742.5,2651.57,3351.5,1600,317362.8,143768.82
2019,5,215,Columbia,200677.81,111048.87,150945.16,75536.3,24253,85893.5,3904.43,20658.75,2184,462671.84,212429.98
2019,5,216,Piedmont,127647.61,60814.7,61390.01,67952.71,32659.75,30116,15128.11,18332,992,249852.32,165180.57
2019,5,218,Charleston,192496.28,37376.86,64219.14,36934.5,18775,45467,1809.07,5607,3904,294092.28,112496.57
2019,5,364,Macon,84568,78026.46,40650.45,38141,19443.5,20114.25,2098.04,1243.75,3072,203244.91,84112.54
2019,5,365,Savannah,252736.42,96724.47,184261.43,61200.25,38378,64931.5,1793.34,2597.5,2944,533722.32,171844.59
2019,5,367,Buford,382944.52,171513.76,141785.63,157194.69,33090.25,67776.75,9573.36,7913.75,13951.5,696243.91,289500.3
2019,5,520,Knoxville,115746.25,54784.36,24368.72,55420,3456,19043.75,1638.78,2102.5,384,194899.33,82045.03
2019,5,536,Chattanooga,49215.11,61186.81,19600.07,35633.5,4639,9121.5,729.32,0,640,130001.99,50763.32
2019,6,113,Raleigh,275658.4,113346.51,51509.2,100054.7,18197,57769,15310.46,1255.75,3584,440514.11,196170.91
2019,6,114,Charlotte,375900.52,71321.35,99965.95,100866.75,24804.15,71833.72,436.49,20163.25,1984,547187.82,220088.36
2019,6,117,Greenville,60253.81,21753.2,149602.74,33533.25,16218,7941.25,2278.09,3167.5,16376.25,231609.75,79514.34
2019,6,160,Asheville,149689,75243.57,33170.2,78877.75,14144,36752.5,2473.4,1615,512,258102.77,134374.65
2019,6,215,Columbia,266662.3,110033.1,155903.04,55300.75,33868.25,81857.5,1695.78,7400,3121.5,532598.44,183243.78
2019,6,216,Piedmont,102387.51,37181.14,149664.92,49737.25,38944.5,29984.75,8418.93,20981,2080,289233.57,150146.43
2019,6,218,Charleston,117197.91,53836.97,44450.17,52057.5,15850.5,33295,6643.17,5754,2016,215485.05,115616.17
2019,6,364,Macon,54895.62,59654.78,61453.68,40970.75,18231.5,16409.25,680.93,558.75,5237,176004.08,82088.18
2019,6,365,Savannah,135713.72,109229.39,143121.77,87833.25,43064.5,84905,6539.15,1901.25,9935.5,388064.88,234178.65
2019,6,367,Buford,176799.27,189964.57,127757.89,186590.23,20693,86786,8555.6,5644,6641.5,494521.73,314910.33
2019,6,520,Knoxville,96032.86,80718.99,16756.27,34951.75,3520,21295,667.36,0,480,193508.12,60914.11
2019,6,536,Chattanooga,68527.51,49821.34,20664.78,32233.89,3104,12266.5,4029.59,532.5,0,139013.63,52166.48
2019,7,113,Raleigh,233115.13,169532.5,181484.08,138373.5,33959.55,43316.75,12455.41,4255.5,7360,584131.71,239720.71
2019,7,114,Charlotte,318363.04,83448.64,81066.87,118325.98,12983,97668.64,8912.73,16720,448,482878.55,255058.35
2019,7,117,Greenville,51711.9,11383.18,80073.71,24468.5,10385,5451,9434.18,2031.25,24463.5,143168.79,76233.43
2019,7,160,Asheville,157949.34,79047.31,66007.97,79979.5,8572,38571.25,0,2510,640,303004.62,130272.75
2019,7,190,Corporate,0,0,16.05,0,0,0,0,0,0,16.05,0
2019,7,215,Columbia,212281.53,281130.55,117451.85,133583.1,47780.5,78101.5,8860.81,4300.5,1356.5,610863.93,273982.91
2019,7,216,Piedmont,91878.53,49463.51,99182.98,59572.25,31841.75,37020.25,10049.96,17346,4288,240525.02,160118.21
2019,7,218,Charleston,136791.85,42225.26,76560.82,41218.75,11072,29132.5,3280.49,10935,4608,255577.93,100246.74
2019,7,364,Macon,76174.39,30921.36,37489.91,37214.25,22909.75,8761.5,200,0,6912,144585.66,75997.5
2019,7,365,Savannah,142317.62,118096.77,135703.49,89685.75,56548.75,78521,10960.43,1444.5,2118.5,396117.88,239278.93
2019,7,367,Buford,336380.6,112147.88,117687.04,126085.5,28187,53851.25,9182.91,4400.25,5274,566215.52,226980.91
2019,7,520,Knoxville,156049.3,56969.65,51972.86,40853.75,16433,18049.25,-69.65,0,1344,264991.81,76610.35
2019,7,536,Chattanooga,79082.44,41850.86,13363.03,26219.5,8700,8209,4175,342.5,0,134296.33,47646
2019,8,113,Raleigh,263271.24,154561.36,155251.87,137702.5,31887.75,59352,19290.52,6355.25,10016,573084.47,264604.02
2019,8,114,Charlotte,319526.52,133672.67,121176.48,165966.37,21770.75,104196.22,7063.51,20662,576,574375.67,320234.85
2019,8,117,Greenville,95649.36,14370.1,87060.59,23116.5,17035.25,7070.5,5678.96,2270.75,17120,197080.05,72291.96
2019,8,160,Asheville,191521.1,54921.04,82451.73,51726.25,32000,40071.75,3500,2764,896,328893.87,130958
2019,8,215,Columbia,162614.04,63921.69,174901.64,72211.7,29804.5,56900,2011.05,4907.75,2195.5,401437.37,168030.5
2019,8,216,Piedmont,90225.59,47363.8,60902.43,54948.75,28160.75,27884,2007.46,15686.25,1888,198491.82,130575.21
2019,8,218,Charleston,168377.03,25751.9,33125.59,19664.5,9760,17259,150,8423.5,704,227254.52,55961
2019,8,364,Macon,63269.98,-7813.63,110008.1,18105.68,20360,11773.75,800,610,5344,165464.45,56993.43
2019,8,365,Savannah,248195.15,66942.95,97762.08,72285.5,46463,80689.75,1781.11,2932.5,6276,412900.18,210427.86
2019,8,367,Buford,280965.91,144388.51,92067.63,91583.53,32695.5,65103.25,7915.76,3549.75,11786,517422.05,212633.79
2019,8,520,Knoxville,155508.23,69132.57,12039.03,56569,512,14513.5,220.78,0,0,236679.83,71815.28
2019,8,536,Chattanooga,55163.33,19708.97,22354.97,16445.5,2112,10332,1700.42,1066,0,97227.27,31655.92
2019,9,113,Raleigh,215466.97,166548.16,171215.43,120646.01,57492.75,42431.5,14418.94,4520.25,17728,553230.56,257237.45
2019,9,114,Charlotte,372780.21,90744.03,120834.49,114925,28976.5,96016.47,4334.52,19475,320,584358.73,264047.49
2019,9,117,Greenville,62710.97,12057.93,135523.78,25563,11169.75,8192,18031.52,3308.75,10706,210292.68,76971.02
2019,9,160,Asheville,168702.61,106587.57,80250.17,82038,13376,42313.5,4266.66,4528,192,355540.35,146714.16
2019,9,215,Columbia,162239.62,131444.91,146168.41,98914.5,22677.5,33805.75,1184.88,1066.25,3904,439852.94,161552.88
2019,9,216,Piedmont,80049.71,96392.55,81566.29,69174.5,42442.75,16453,9305.97,18932.5,1504,258008.55,157812.72
2019,9,218,Charleston,137547.93,59647.1,80539.17,45940.75,21656.75,35775,887.8,3504,1280,277734.2,109044.3
2019,9,364,Macon,32782.59,42342.63,59376.91,29202.75,21061.25,16737.25,619.26,487.5,3296,134502.13,71404.01
2019,9,365,Savannah,125142.08,46480.09,190493.85,42695.25,60836.25,58269.25,375.54,952.5,10240,362116.02,173368.79
2019,9,367,Buford,235037.79,150141.32,72937.76,107488.15,43753,47749,6133.02,5824.75,-170.5,458116.87,210777.42
2019,9,520,Knoxville,208727.16,19156.67,11988.41,37489.5,3680,15737,490.34,0,0,239872.24,57396.84
2019,9,536,Chattanooga,66221.1,127172.33,13570.83,43295.75,7306.5,5824,717.38,0,937,206964.26,58080.63
2019,10,113,Raleigh,226735.26,201975.62,67948.66,157226.39,37281.25,60335,21528.03,4196.25,1472,496659.54,282038.92
2019,10,114,Charlotte,359000.24,130915.41,139141.62,123182.52,24138,99336.15,3794.03,27459,2432,629057.27,280341.7
2019,10,117,Greenville,62071.75,24220.59,122678.36,30423.5,19881.26,7017,839.13,2012.5,20384,208970.7,80557.39
2019,10,160,Asheville,175811.78,88859.66,112672.82,67309.75,36640,32919.25,0,15759.25,2272,377344.26,154900.25
2019,10,215,Columbia,160440.87,96620.67,102267.33,75904.15,16866.5,65465.5,1063.95,15938,2144,359328.87,177382.1
2019,10,216,Piedmont,93702.48,75216.21,51895.05,66205.75,25259.25,21355.5,4785.44,7200.5,3712,220813.74,128518.44
2019,10,218,Charleston,107192.09,122743.46,75459.83,59034.75,18264.5,38925,1832.57,1045,1120,305395.38,120221.82
2019,10,364,Macon,69361.04,60802.51,95725.42,41328,17478.75,26893.75,924.91,970,3776,225888.97,91371.41
2019,10,365,Savannah,184676.3,72197.83,195760.89,75536.5,48965.5,68227.5,9408.93,2065,13127,452635.02,217330.43
2019,10,367,Buford,314966.82,180027.77,92108.36,160230.52,47698.25,68997.75,20378.44,4623,5715.5,587102.95,307643.46
2019,10,520,Knoxville,107885.59,41579.29,35713.77,41381.5,4303.96,21868.75,1474.08,1275,4672,185178.65,74975.29
2019,10,536,Chattanooga,57376.98,49366.59,22935.09,29449.43,6607,8139.5,3298.52,237.5,0,129678.66,47731.95
2019,11,113,Raleigh,208018.59,257161.04,80155.39,97634.63,35280.5,51610,15428.16,5653.75,4256,545335.02,209863.04
2019,11,114,Charlotte,267258.88,99053.5,73046.57,91155.5,15503,93693.85,6534.35,15691,640,439358.95,223217.7
2019,11,117,Greenville,44063.57,31745.8,128763.89,22838.25,15164,6299.5,849.23,4020.75,21728,204573.26,70899.73
2019,11,160,Asheville,95565.94,57249.64,76999.67,50962.25,13208.5,46740,4950,14593,17536,229815.25,147989.75
2019,11,215,Columbia,114790.58,92711.46,170008.1,76734.49,15874,53988.5,1216.24,491.5,1536,377510.14,149840.73
2019,11,216,Piedmont,49685.66,80149.46,35209.51,67763.12,11487.5,25292.75,3924.06,2412,416,165044.63,111295.43
2019,11,218,Charleston,88112.39,29983.1,46317.76,30481.25,9225,31364.25,1498.9,7959.5,2112,164413.25,82640.9
2019,11,364,Macon,42706.4,84201.45,43966.76,56879.5,14961.5,11825,13759.51,0,1571,170874.61,98996.51
2019,11,365,Savannah,119921.42,88892.02,113519.04,77227,37605.5,29801.5,5120,292.5,5728,322332.48,155774.5
2019,11,367,Buford,174657.52,365689.55,75811.05,157904.23,27199.5,49424.5,19643.68,6176.5,3408,616158.12,263756.41
2019,11,520,Knoxville,63332.09,27051.35,15372.87,24306.5,5684.5,16573.5,0,0,384,105756.31,46948.5
2019,11,536,Chattanooga,53058.43,21758.18,23721.94,22969.25,8550.5,16221.5,1153.5,0,375,98538.55,49269.75
2019,12,113,Raleigh,182827.67,219419.81,87538.42,116173.5,38346.25,48924.75,5717.4,435.5,4544,489785.9,214141.4
2019,12,114,Charlotte,288030.89,122426.48,145115.3,130481.7,18355.75,84100.83,15029.21,18811,1920,555572.67,268698.49
2019,12,117,Greenville,62737.85,41751.62,76270.59,35249.25,18597.75,5016.25,30973.86,5086.44,25248,180760.06,120171.55
2019,12,160,Asheville,119654.48,63543.65,161002.08,45655.5,19070.25,69590.25,4270,13451.25,7360,344200.21,159397.25
2019,12,190,Corporate,-20748.6,0,0,0,0,0,0,0,0,-20748.6,0
2019,12,215,Columbia,142742.85,124662.07,138951.47,108926.5,21483.25,68311,4463.88,3555,5184,406356.39,211923.63
2019,12,216,Piedmont,65989,27482.62,79992.07,41968.5,37728,16394.75,5753.43,3353.75,896,173463.69,106094.43
2019,12,218,Charleston,117427.51,66661.05,53472.78,48407.5,8810,25605.5,5885.9,1656.5,2912,237561.34,93277.4
2019,12,364,Macon,114849.83,28002.25,55698.41,37924,12476.75,6730,495,1798.5,1450,198550.49,60874.25
2019,12,365,Savannah,133424.52,147174.44,132083.72,70380,52219.75,71552.5,4012.14,3157.25,10585,412682.68,211906.64
2019,12,367,Buford,248254.07,130492.49,169626.08,111750.75,22514,63803.5,29840.08,3262.5,9478.5,548372.64,240649.33
2019,12,520,Knoxville,135142.26,127241.99,12119.69,66468,960,24073.5,10378.93,0,0,274503.94,101880.43
2019,12,536,Chattanooga,61007.46,100168.71,43009.56,37186.82,8608,13950.5,4386.77,0,0,204185.73,64132.09
2020,1,113,Raleigh,225868.6,258458.65,92395.45,130138.5,27328.75,34167.5,9127.66,4413.25,6600.5,576722.7,211776.16
2020,1,114,Charlotte,294954.56,123785.5,120863.29,128934.43,19143,85902.25,13286.31,15828.75,675,539603.35,263769.74
2020,1,117,Greenville,68023.09,47387.1,137853.35,35968.5,14837,7332,8952.29,1826.75,14329.5,253263.54,83246.04
2020,1,160,Asheville,140260.27,77358.82,85074.47,93388.25,16226,31921,2733.73,7051,21379.5,302693.56,172699.48
2020,1,215,Columbia,164732.58,45615.29,109089.6,63310.25,19611.5,26546.5,1502.45,5255,832,319437.47,117057.7
2020,1,216,Piedmont,102042.4,48004.76,81820.13,43626,9673.75,46673,1489.92,2203.5,593.5,231867.29,104259.67
2020,1,218,Charleston,82222.7,97874.76,73819.4,44463.25,13013.75,27171.25,6751,855,1856.25,253916.86,94110.5
2020,1,364,Macon,39446.8,32175.39,73850.1,38466.25,13409,7170.75,68.4,0,11016,145472.29,70130.4
2020,1,365,Savannah,168256.89,56094.84,152566.74,59757.5,42294,75669.75,7357.53,6405,8732.5,376918.47,200216.28
2020,1,367,Buford,211068.29,290974.39,149362.75,144795.33,22293.25,58745.5,22939.8,6470.5,2204.25,651405.43,257448.63
2020,1,520,Knoxville,75377.22,30362.83,17683.38,36144.97,4489.5,21211.5,0,630,0,123423.43,62475.97
2020,1,536,Chattanooga,56796.95,26207.34,9210.19,27810,4381.5,8499,166.26,1998,0,92214.48,42854.76
2020,2,113,Raleigh,171258.84,92498.68,118478.04,114640.5,39872.12,55064.27,6930.08,5997,6633,382235.56,229136.97
2020,2,114,Charlotte,240044.45,122429.97,156366.37,153140,29021.75,68742.03,4211.88,14164.5,6733.5,518840.79,276013.66
2020,2,117,Greenville,46468.41,17628.33,15449.5,15908.75,1742,23772,116605.1,0,11181.5,79546.24,169209.35
2020,2,160,Asheville,107740.98,100400.39,75273.55,67197.75,19017,6865.25,346.15,22926.75,3484,283414.92,119836.9
2020,2,190,Corporate,0,0,545.9,0,0,0,0,0,0,545.9,0
2020,2,215,Columbia,145242.22,130692.63,117423.78,93009,18678.75,55802,1860.64,5171,1342,393358.63,175863.39
2020,2,216,Piedmont,75940.07,33751.48,63064.53,64674.5,11049.5,41810.75,7584.04,6421.75,435.5,172756.08,131976.04
2020,2,218,Charleston,115565.97,51795.05,49217.8,44963.5,17891.5,16118.25,1614,0,3283,216578.82,83870.25
2020,2,364,Macon,69260.81,23143.78,64940.93,31969.5,19148,11306.25,0,871.5,7082.5,157345.52,70377.75
2020,2,365,Savannah,113402.73,124881.13,93811.77,58391.75,21150.5,52104.25,3325.27,2126.25,6933,332095.63,144031.02
2020,2,367,Buford,227602.21,125998.09,138997.44,146532.83,23133.75,77174,22661.54,3979.5,2819.75,492597.74,276301.37
2020,2,520,Knoxville,236271.61,35128.11,9426.22,52539.75,5303.5,3267.5,1673.07,4263.5,1005,280825.94,68052.32
2020,2,536,Chattanooga,54317.71,63519.28,13898.96,26858.25,7365.5,15186.5,11139.3,3202.5,335,131735.95,64087.05
2020,3,113,Raleigh,270958.82,151816.72,91951.46,133739.75,47386.5,49733.25,13491.88,7814.75,3182.5,514727,255348.63
2020,3,114,Charlotte,290503.65,119308.97,114731.16,109469.32,34308.75,58904.17,21789.55,23335,6331.5,524543.78,254138.29
2020,3,117,Greenville,52448.81,34729.52,139308.26,52645.25,30313.75,24971.25,38963.72,11851,25962.5,226486.59,184707.47
2020,3,160,Asheville,120007.21,52848.92,89054.53,67871.75,14289,66716.5,310.62,13619.25,1675,261910.66,164482.12
2020,3,215,Columbia,152866.78,148783.36,137997.38,137377.75,35924,49463.48,855.24,7503.75,-165.75,439647.52,230958.47
2020,3,216,Piedmont,76244.5,50154.77,104004.69,53674.75,7202.5,29410.5,2189.69,6717,2412,230403.96,101606.44
2020,3,218,Charleston,147489.11,106496.6,51880.13,65479.75,9324.75,38187,736.5,420,1876,305865.84,116024
2020,3,364,Macon,110010.03,64859.92,47971.01,61434,25973.5,14839.5,0,924,2835,222840.96,106006
2020,3,365,Savannah,117636.31,67118.13,82435.1,53286,26356,74459.25,10294.5,472.5,10602,267189.54,175470.25
2020,3,367,Buford,229468.13,200401.5,183146.2,159176.25,30573.75,62613.25,19207.83,7232,5735,613015.83,284538.08
2020,3,520,Knoxville,50616.29,59089.72,7677.21,60253.25,2207.5,5809,6348.51,1428.5,268,117383.22,76314.76
2020,3,536,Chattanooga,57185.44,42031.13,29265.05,37734.75,8262.5,15552.5,564.92,342.5,201,128481.62,62658.17
2020,4,113,Raleigh,224256.56,154474.72,59892.02,157069,28830.5,51169.75,15542.68,8426.5,1641.5,438623.3,262679.93
2020,4,114,Charlotte,376503.54,162230.9,88943.35,124099.66,22765.5,68658.81,18127.98,26661.75,2345,627677.79,262658.7
2020,4,117,Greenville,42592.35,38242.23,105272.81,30791.25,54903.5,18209.5,352.11,1916.25,5695,186107.39,111867.61
2020,4,160,Asheville,125963.77,71783.02,102539.43,61396,35510,55619.5,0,20274.25,2345,300286.22,175144.75
2020,4,215,Columbia,143683.31,99599.56,142721.02,75554.5,15269.25,30407,466.15,7393.25,4187.5,386003.89,133277.65
2020,4,216,Piedmont,125766.68,58337.4,144639.11,88635.5,15355.25,15295,5281.78,4405.25,3584.5,328743.19,132557.28
2020,4,218,Charleston,123856.33,94081.03,122895.68,66556.75,34340,32334,3827.98,0,3618,340833.04,140676.73
2020,4,364,Macon,69148.2,41500.48,74880.05,58853.25,18606.25,7261,315.9,813.75,7577.5,185528.73,93427.65
2020,4,365,Savannah,126895.97,86474.42,96254.63,82776,26926.75,79492.5,6762.16,3806.25,7420,309625.02,207183.66
2020,4,367,Buford,193727.78,84487.21,159270.25,127032.97,16701.25,53560.75,6749.85,3071.25,5967.5,437485.24,213083.57
2020,4,520,Knoxville,83826.17,43762.5,3983.19,55090,1939.75,7891.5,7816.79,1177,0,131571.86,73915.04
2020,4,536,Chattanooga,54720.91,29371.72,40461.47,42363.27,7358,9708.5,25,0,0,124554.1,59454.77
2020,5,113,Raleigh,240841.19,131269.54,134744.27,114559.75,47437.75,56070.5,1520.69,13493.5,6633,506855,239715.19
2020,5,114,Charlotte,237852.27,166355.85,104472.1,125206.5,19463.5,82388.66,2112.26,17204.75,4824,508680.22,251199.67
2020,5,117,Greenville,96896.98,11792.85,102789.11,30440.25,37864.25,22241.5,3321.55,3071.25,5896,211478.94,102834.8
2020,5,160,Asheville,125616.81,52801.37,58609.36,64417.5,22445,28572.25,714.85,24085.75,5829,237027.54,146064.35
2020,5,190,Corporate,0,0,0,0,0,0,0,0,0,0,0
2020,5,215,Columbia,160020.22,82323.08,60422.41,108733,13520.5,26134.5,956.49,4251.5,3095.5,302765.71,156691.49
2020,5,216,Piedmont,55956.59,34499.01,169992.69,60567.64,29681,14007.75,3292.39,1533.5,1306.5,260448.29,110388.78
2020,5,218,Charleston,148967.28,37645.33,47610.63,41924,9815.5,35559,1964.87,1995,5393.5,234223.24,96651.87
2020,5,364,Macon,48998.7,46845.61,118453.48,37392,27456.5,10144.75,0,0,11690,214297.79,86683.25
2020,5,365,Savannah,194398.12,190584.45,175273.34,81700.25,47173.25,51509.75,2437.87,2808.75,53550,560255.91,239179.87
2020,5,367,Buford,263764.02,179996.25,246964.3,152871.59,30314.25,79872.25,28530.72,2283.75,6540,690724.57,300412.56
2020,5,520,Knoxville,81105.72,49740,8183.66,53397,7135.5,8680.5,3163.06,4933.5,268,139029.38,77577.56
2020,5,536,Chattanooga,48576.08,25741.72,18157.8,37780.16,2613,21078.25,1362.88,-2720,0,92475.6,60114.29
2020,6,113,Raleigh,227528.89,98685.85,73264.71,127462.09,36624.75,56013,3357.94,5470.5,8871,399479.45,237799.28
2020,6,114,Charlotte,343952.37,201354.21,89847.83,182777.97,17458,50242.25,15174.37,33211.75,871,635154.41,299735.34
2020,6,117,Greenville,21779.9,31995.27,90502.53,25946.5,39745.75,30313,3091.53,1076.25,6733.5,144277.7,106906.53
2020,6,160,Asheville,152316.59,60474.84,58298.87,75626,18157,46572.25,502.56,27036.75,4422,271090.3,172316.56
2020,6,215,Columbia,129626.93,135726,168720.08,129908.19,38198,67029.5,1420.46,14339.25,5058.5,434073.01,255953.9
2020,6,216,Piedmont,134770.69,91923.17,51542.92,80564.38,10968,18907.5,2520.79,4058.25,15276,278236.78,132294.92
2020,6,218,Charleston,99806.31,54227.36,69080.11,49460.5,12307,33546.5,1072.75,0,1842.5,223113.78,98229.25
2020,6,364,Macon,131861.54,49610.67,52087.3,57466,13683.25,16207.5,0,8016.75,6370,233559.51,101743.5
2020,6,365,Savannah,105317.03,77101.45,96904.36,60698.88,44875.75,79459.75,11684.72,2257.5,10020.5,279322.84,208997.1
2020,6,367,Buford,208343.35,130282.32,111863.86,165880.83,22126.25,59054.5,15031.1,4436.25,5731,450489.53,272259.93
2020,6,520,Knoxville,156961.82,22753.69,27395.68,31064.5,3909.41,37013.5,4014.97,7850,67,207111.19,83919.38
2020,6,536,Chattanooga,71490.13,47569.73,18695.46,44789.5,4087,16315.5,2744.64,0,0,137755.32,67936.64
2020,7,113,Raleigh,235575,76501.02,103918.03,141877.75,49522.25,42150.5,3778.26,3909.5,7939.5,415994.05,249177.76
2020,7,114,Charlotte,273696.75,170562.14,72000.35,147745.48,16196.5,86882.12,8233.96,18431.25,502.5,516259.24,277991.81
2020,7,117,Greenville,19863.68,64831.74,46704.53,52618,25869.5,19183.5,1082.49,4803.75,7035,131399.95,110592.24
